USGS,site_no,Date,Temp (max),A,Temp (min),A,Temp (mean),A,Discharge (mean),A,pH (min),A,pH (max),A,pH (median),A,
USGS,9261000,10/1/75,,,,,,,1830,A,,,,,,,
USGS,9261000,10/2/75,,,,,,,1420,A,,,,,,,
USGS,9261000,10/3/75,,,,,,,1630,A,,,,,,,
USGS,9261000,10/4/75,,,,,,,1810,A,,,,,,,
USGS,9261000,10/5/75,,,,,,,1460,A,,,,,,,
USGS,9261000,10/6/75,,,,,,,1200,A,,,,,,,
USGS,9261000,10/7/75,,,,,,,1140,A,,,,,,,
USGS,9261000,10/8/75,,,,,,,1400,A,,,,,,,
USGS,9261000,10/9/75,,,,,,,2120,A,,,,,,,
USGS,9261000,10/10/75,,,,,,,2230,A,,,,,,,
USGS,9261000,10/11/75,,,,,,,2100,A,,,,,,,
USGS,9261000,10/12/75,,,,,,,1800,A,,,,,,,
USGS,9261000,10/13/75,,,,,,,1690,A,,,,,,,
USGS,9261000,10/14/75,,,,,,,1630,A,,,,,,,
USGS,9261000,10/15/75,,,,,,,2130,A,,,,,,,
USGS,9261000,10/16/75,,,,,,,2200,A,,,,,,,
USGS,9261000,10/17/75,,,,,,,2130,A,,,,,,,
USGS,9261000,10/18/75,,,,,,,1940,A,,,,,,,
USGS,9261000,10/19/75,,,,,,,1580,A,,,,,,,
USGS,9261000,10/20/75,,,,,,,1370,A,,,,,,,
USGS,9261000,10/21/75,,,,,,,1350,A,,,,,,,
USGS,9261000,10/22/75,,,,,,,1840,A,,,,,,,
USGS,9261000,10/23/75,,,,,,,2200,A,,,,,,,
USGS,9261000,10/24/75,,,,,,,2080,A,,,,,,,
USGS,9261000,10/25/75,,,,,,,2220,A,,,,,,,
USGS,9261000,10/26/75,,,,,,,2670,A,,,,,,,
USGS,9261000,10/27/75,,,,,,,2240,A,,,,,,,
USGS,9261000,10/28/75,,,,,,,2200,A,,,,,,,
USGS,9261000,10/29/75,,,,,,,2220,A,,,,,,,
USGS,9261000,10/30/75,,,,,,,2070,A,,,,,,,
USGS,9261000,10/31/75,,,,,,,2140,A,,,,,,,
USGS,9261000,11/1/75,,,,,,,1920,A,,,,,,,
USGS,9261000,11/2/75,,,,,,,1910,A,,,,,,,
USGS,9261000,11/3/75,,,,,,,1790,A,,,,,,,
USGS,9261000,11/4/75,,,,,,,1820,A,,,,,,,
USGS,9261000,11/5/75,,,,,,,2060,A,,,,,,,
USGS,9261000,11/6/75,,,,,,,1950,A,,,,,,,
USGS,9261000,11/7/75,,,,,,,1460,A,,,,,,,
USGS,9261000,11/8/75,,,,,,,1420,A,,,,,,,
USGS,9261000,11/9/75,,,,,,,1590,A,,,,,,,
USGS,9261000,11/10/75,,,,,,,2450,A,,,,,,,
USGS,9261000,11/11/75,,,,,,,2620,A,,,,,,,
USGS,9261000,11/12/75,,,,,,,2780,A,,,,,,,
USGS,9261000,11/13/75,,,,,,,2530,A,,,,,,,
USGS,9261000,11/14/75,,,,,,,3280,A,,,,,,,
USGS,9261000,11/15/75,,,,,,,3440,A,,,,,,,
USGS,9261000,11/16/75,,,,,,,2610,A,,,,,,,
USGS,9261000,11/17/75,,,,,,,2370,A,,,,,,,
USGS,9261000,11/18/75,,,,,,,2640,A,,,,,,,
USGS,9261000,11/19/75,,,,,,,3330,A,,,,,,,
USGS,9261000,11/20/75,,,,,,,3290,A,,,,,,,
USGS,9261000,11/21/75,,,,,,,3600,A,,,,,,,
USGS,9261000,11/22/75,,,,,,,3410,A,,,,,,,
USGS,9261000,11/23/75,,,,,,,3390,A,,,,,,,
USGS,9261000,11/24/75,,,,,,,2330,A,,,,,,,
USGS,9261000,11/25/75,,,,,,,2920,A,,,,,,,
USGS,9261000,11/26/75,,,,,,,3180,A,,,,,,,
USGS,9261000,11/27/75,,,,,,,3560,A,,,,,,,
USGS,9261000,11/28/75,,,,,,,2520,A,,,,,,,
USGS,9261000,11/29/75,,,,,,,3210,A,,,,,,,
USGS,9261000,11/30/75,,,,,,,3900,A,,,,,,,
USGS,9261000,12/1/75,,,,,,,3680,A,,,,,,,
USGS,9261000,12/2/75,,,,,,,3400,A,,,,,,,
USGS,9261000,12/3/75,,,,,,,3980,A,,,,,,,
USGS,9261000,12/4/75,,,,,,,3870,A,,,,,,,
USGS,9261000,12/5/75,,,,,,,3830,A,,,,,,,
USGS,9261000,12/6/75,,,,,,,4110,A,,,,,,,
USGS,9261000,12/7/75,,,,,,,4240,A,,,,,,,
USGS,9261000,12/8/75,,,,,,,3540,A,,,,,,,
USGS,9261000,12/9/75,,,,,,,3830,A,,,,,,,
USGS,9261000,12/10/75,,,,,,,4060,A,,,,,,,
USGS,9261000,12/11/75,,,,,,,4090,A,,,,,,,
USGS,9261000,12/12/75,,,,,,,4450,A,,,,,,,
USGS,9261000,12/13/75,,,,,,,4240,A,,,,,,,
USGS,9261000,12/14/75,,,,,,,4330,A,,,,,,,
USGS,9261000,12/15/75,,,,,,,4060,A,,,,,,,
USGS,9261000,12/16/75,,,,,,,4180,A,,,,,,,
USGS,9261000,12/17/75,,,,,,,4230,A,,,,,,,
USGS,9261000,12/18/75,,,,,,,4480,A,,,,,,,
USGS,9261000,12/19/75,,,,,,,4550,A,,,,,,,
USGS,9261000,12/20/75,,,,,,,4170,A,,,,,,,
USGS,9261000,12/21/75,,,,,,,4120,A,,,,,,,
USGS,9261000,12/22/75,,,,,,,4580,A,,,,,,,
USGS,9261000,12/23/75,,,,,,,4290,A,,,,,,,
USGS,9261000,12/24/75,,,,,,,3820,A,,,,,,,
USGS,9261000,12/25/75,,,,,,,4240,A,,,,,,,
USGS,9261000,12/26/75,,,,,,,2430,A,,,,,,,
USGS,9261000,12/27/75,,,,,,,2770,A,,,,,,,
USGS,9261000,12/28/75,,,,,,,4240,A,,,,,,,
USGS,9261000,12/29/75,,,,,,,4320,A,,,,,,,
USGS,9261000,12/30/75,,,,,,,4010,A,,,,,,,
USGS,9261000,12/31/75,,,,,,,3890,A,,,,,,,
USGS,9261000,1/1/76,,,,,,,3980,A,,,,,,,
USGS,9261000,1/2/76,,,,,,,4540,A,,,,,,,
USGS,9261000,1/3/76,,,,,,,4470,A,,,,,,,
USGS,9261000,1/4/76,,,,,,,4490,A,,,,,,,
USGS,9261000,1/5/76,,,,,,,4500,A,,,,,,,
USGS,9261000,1/6/76,,,,,,,4210,A,,,,,,,
USGS,9261000,1/7/76,,,,,,,3570,A,,,,,,,
USGS,9261000,1/8/76,,,,,,,3530,A,,,,,,,
USGS,9261000,1/9/76,,,,,,,4150,A,,,,,,,
USGS,9261000,1/10/76,,,,,,,4080,A,,,,,,,
USGS,9261000,1/11/76,,,,,,,3170,A,,,,,,,
USGS,9261000,1/12/76,,,,,,,3240,A,,,,,,,
USGS,9261000,1/13/76,,,,,,,3320,A,,,,,,,
USGS,9261000,1/14/76,,,,,,,3370,A,,,,,,,
USGS,9261000,1/15/76,,,,,,,3290,A,,,,,,,
USGS,9261000,1/16/76,,,,,,,3110,A,,,,,,,
USGS,9261000,1/17/76,,,,,,,3370,A,,,,,,,
USGS,9261000,1/18/76,,,,,,,2870,A,,,,,,,
USGS,9261000,1/19/76,,,,,,,2770,A,,,,,,,
USGS,9261000,1/20/76,,,,,,,3150,A,,,,,,,
USGS,9261000,1/21/76,,,,,,,2960,A,,,,,,,
USGS,9261000,1/22/76,,,,,,,2570,A,,,,,,,
USGS,9261000,1/23/76,,,,,,,2830,A,,,,,,,
USGS,9261000,1/24/76,,,,,,,2880,A,,,,,,,
USGS,9261000,1/25/76,,,,,,,2950,A:e,,,,,,,
USGS,9261000,1/26/76,,,,,,,3200,A:e,,,,,,,
USGS,9261000,1/27/76,,,,,,,3200,A:e,,,,,,,
USGS,9261000,1/28/76,,,,,,,3100,A:e,,,,,,,
USGS,9261000,1/29/76,,,,,,,3400,A:e,,,,,,,
USGS,9261000,1/30/76,,,,,,,3700,A:e,,,,,,,
USGS,9261000,1/31/76,,,,,,,3340,A,,,,,,,
USGS,9261000,2/1/76,,,,,,,3130,A,,,,,,,
USGS,9261000,2/2/76,,,,,,,2530,A,,,,,,,
USGS,9261000,2/3/76,,,,,,,2890,A,,,,,,,
USGS,9261000,2/4/76,,,,,,,3030,A,,,,,,,
USGS,9261000,2/5/76,,,,,,,3390,A,,,,,,,
USGS,9261000,2/6/76,,,,,,,3820,A,,,,,,,
USGS,9261000,2/7/76,,,,,,,3480,A,,,,,,,
USGS,9261000,2/8/76,,,,,,,3020,A,,,,,,,
USGS,9261000,2/9/76,,,,,,,2450,A,,,,,,,
USGS,9261000,2/10/76,,,,,,,3220,A,,,,,,,
USGS,9261000,2/11/76,,,,,,,3360,A,,,,,,,
USGS,9261000,2/12/76,,,,,,,3400,A,,,,,,,
USGS,9261000,2/13/76,,,,,,,3060,A,,,,,,,
USGS,9261000,2/14/76,,,,,,,2860,A,,,,,,,
USGS,9261000,2/15/76,,,,,,,2640,A,,,,,,,
USGS,9261000,2/16/76,,,,,,,2530,A,,,,,,,
USGS,9261000,2/17/76,,,,,,,2470,A,,,,,,,
USGS,9261000,2/18/76,,,,,,,2880,A,,,,,,,
USGS,9261000,2/19/76,,,,,,,3190,A,,,,,,,
USGS,9261000,2/20/76,,,,,,,3180,A,,,,,,,
USGS,9261000,2/21/76,,,,,,,2900,A,,,,,,,
USGS,9261000,2/22/76,,,,,,,2140,A,,,,,,,
USGS,9261000,2/23/76,,,,,,,2050,A,,,,,,,
USGS,9261000,2/24/76,,,,,,,2010,A,,,,,,,
USGS,9261000,2/25/76,,,,,,,2240,A,,,,,,,
USGS,9261000,2/26/76,,,,,,,2390,A,,,,,,,
USGS,9261000,2/27/76,,,,,,,2520,A,,,,,,,
USGS,9261000,2/28/76,,,,,,,2520,A,,,,,,,
USGS,9261000,2/29/76,,,,,,,2610,A,,,,,,,
USGS,9261000,3/1/76,,,,,,,3030,A,,,,,,,
USGS,9261000,3/2/76,,,,,,,3660,A,,,,,,,
USGS,9261000,3/3/76,,,,,,,3700,A,,,,,,,
USGS,9261000,3/4/76,,,,,,,3790,A,,,,,,,
USGS,9261000,3/5/76,,,,,,,3910,A,,,,,,,
USGS,9261000,3/6/76,,,,,,,3550,A,,,,,,,
USGS,9261000,3/7/76,,,,,,,2470,A,,,,,,,
USGS,9261000,3/8/76,,,,,,,2570,A,,,,,,,
USGS,9261000,3/9/76,,,,,,,3080,A,,,,,,,
USGS,9261000,3/10/76,,,,,,,3140,A,,,,,,,
USGS,9261000,3/11/76,,,,,,,3030,A,,,,,,,
USGS,9261000,3/12/76,,,,,,,3070,A,,,,,,,
USGS,9261000,3/13/76,,,,,,,3160,A,,,,,,,
USGS,9261000,3/14/76,,,,,,,2750,A,,,,,,,
USGS,9261000,3/15/76,,,,,,,2400,A,,,,,,,
USGS,9261000,3/16/76,,,,,,,2260,A,,,,,,,
USGS,9261000,3/17/76,,,,,,,2470,A,,,,,,,
USGS,9261000,3/18/76,,,,,,,2260,A,,,,,,,
USGS,9261000,3/19/76,,,,,,,2820,A,,,,,,,
USGS,9261000,3/20/76,,,,,,,3670,A,,,,,,,
USGS,9261000,3/21/76,,,,,,,3730,A,,,,,,,
USGS,9261000,3/22/76,,,,,,,2950,A,,,,,,,
USGS,9261000,3/23/76,,,,,,,2990,A,,,,,,,
USGS,9261000,3/24/76,,,,,,,3560,A,,,,,,,
USGS,9261000,3/25/76,,,,,,,3740,A,,,,,,,
USGS,9261000,3/26/76,,,,,,,3870,A,,,,,,,
USGS,9261000,3/27/76,,,,,,,3660,A,,,,,,,
USGS,9261000,3/28/76,,,,,,,2970,A,,,,,,,
USGS,9261000,3/29/76,,,,,,,2500,A,,,,,,,
USGS,9261000,3/30/76,,,,,,,2620,A,,,,,,,
USGS,9261000,3/31/76,,,,,,,3270,A,,,,,,,
USGS,9261000,4/1/76,,,,,,,2980,A,,,,,,,
USGS,9261000,4/2/76,,,,,,,3030,A,,,,,,,
USGS,9261000,4/3/76,,,,,,,3430,A,,,,,,,
USGS,9261000,4/4/76,,,,,,,2820,A,,,,,,,
USGS,9261000,4/5/76,,,,,,,2630,A,,,,,,,
USGS,9261000,4/6/76,,,,,,,2740,A,,,,,,,
USGS,9261000,4/7/76,,,,,,,3950,A,,,,,,,
USGS,9261000,4/8/76,,,,,,,4090,A,,,,,,,
USGS,9261000,4/9/76,,,,,,,4480,A,,,,,,,
USGS,9261000,4/10/76,,,,,,,4190,A,,,,,,,
USGS,9261000,4/11/76,,,,,,,3900,A,,,,,,,
USGS,9261000,4/12/76,,,,,,,3850,A,,,,,,,
USGS,9261000,4/13/76,,,,,,,4200,A,,,,,,,
USGS,9261000,4/14/76,,,,,,,4570,A,,,,,,,
USGS,9261000,4/15/76,,,,,,,5450,A,,,,,,,
USGS,9261000,4/16/76,,,,,,,6120,A,,,,,,,
USGS,9261000,4/17/76,,,,,,,5720,A,,,,,,,
USGS,9261000,4/18/76,,,,,,,5370,A,,,,,,,
USGS,9261000,4/19/76,,,,,,,4590,A,,,,,,,
USGS,9261000,4/20/76,,,,,,,4900,A,,,,,,,
USGS,9261000,4/21/76,,,,,,,6010,A,,,,,,,
USGS,9261000,4/22/76,,,,,,,5230,A,,,,,,,
USGS,9261000,4/23/76,,,,,,,5160,A,,,,,,,
USGS,9261000,4/24/76,,,,,,,5350,A,,,,,,,
USGS,9261000,4/25/76,,,,,,,5510,A,,,,,,,
USGS,9261000,4/26/76,,,,,,,6130,A,,,,,,,
USGS,9261000,4/27/76,,,,,,,5900,A,,,,,,,
USGS,9261000,4/28/76,,,,,,,5870,A,,,,,,,
USGS,9261000,4/29/76,,,,,,,6180,A,,,,,,,
USGS,9261000,4/30/76,,,,,,,5950,A,,,,,,,
USGS,9261000,5/1/76,,,,,,,6290,A,,,,,,,
USGS,9261000,5/2/76,,,,,,,7090,A,,,,,,,
